Group,Count,Event_Rate,Median_Survival,Mean_Survival,Jay_Ritter_Pct,YC_Pct
Non-VC,2815,1.0,0.9582477754962354,3.9638428629263154,1.0,0.0
VC-Backed,8144,0.2770137524557957,4.4955509924709105,5.029095715855195,0.23735265225933203,0.762647347740668
