vc_backed_binary,time_years_count,time_years_mean,time_years_median,time_years_std,time_years_min,time_years_max,event_sum,event_mean,founding_year_mean,founding_year_std
0,3030,3.687,0.916,5.205,0.003,28.928,3030,1.0,2011.364,9.264
1,8148,5.027,4.496,3.293,0.022,26.33,2260,0.277,2015.266,7.513
