covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
vc_backed_binary,0.7659613532382461,2.1510613107249212,0.050620117474205854,0.6667477460956159,0.8651749603808763,1.9478919686207217,2.375421654299434,0.0,15.131560167329754,1.0028925710571261e-51,169.41416576521354
post_2008,2.9849240810952917,19.785000123812633,0.05633892502666369,2.8745018171153287,3.0953463450752547,17.716595817778273,22.0948896687284,0.0,52.98155901417373,0.0,inf
sector_Consumer,0.7417627486803567,2.0996333803031635,0.3014478708499818,0.1509357785981108,1.3325897187626028,1.1629219712043193,3.7908479165785276,0.0,2.4606667368020707,0.013867911650810041,6.172105639161449
sector_FinTech,-0.08634139291941002,0.917281024513039,0.1707624582809345,-0.42102966106156514,0.24834687522274512,0.6563706324706986,1.2819045159965348,0.0,-0.5056228036806728,0.6131214700627574,0.7057551695903311
sector_Healthcare,-0.23786658596351115,0.7883078554114027,0.22100261427221526,-0.6710237504262508,0.1952905784992285,0.5111849839723426,1.2156641810451676,0.0,-1.076306661560682,0.28179013037734074,1.8273070123562751
sector_Other,0.6828111316275269,1.9794343689116922,0.10993008898872983,0.4673521163923333,0.8982701468627206,1.5957631988831087,2.4553520369257735,0.0,6.211321558172573,5.25408318871662e-10,30.82584190580619
sector_SaaS,0.1080175126193506,1.1140672554514066,0.13647318910108328,-0.15946502287409686,0.3755000481127981,0.8525997883650369,1.4557191622684738,0.0,0.7914925512537406,0.4286566211288556,1.222105667116102
geography_UK,-0.3789307651567009,0.6845930087152123,0.3636381853933063,-1.0916485119310804,0.3337869816176786,0.3356626934040519,1.3962456858963206,0.0,-1.0420543836639553,0.2973864658870405,1.7495891033206674
geography_US,0.38272613276022405,1.4662764100024632,0.09712799496644833,0.19235876073539765,0.5730935047850505,1.2121052947565634,1.7737456637061442,0.0,3.940430695521225,8.133544692083367e-05,13.585756242040816
geography_Unknown,1.5041265456754283,4.500221175481415,0.11664426266056596,1.2755079918574888,1.7327450994933677,3.5805198231086903,5.656159336849608,0.0,12.894989529424405,4.803283717359329e-38,123.96924657841897
team_size_category_Medium (6-20),-0.5451095431428017,0.5797782691274084,0.11717606316265873,-0.7747704067918033,-0.31544867949380007,0.46080956760155173,0.7294615064134827,0.0,-4.652055449124488,3.2864267532642048e-06,18.215048738201578
team_size_category_Small (1-5),-1.0236325837294524,0.35928742512721734,0.12169254465667972,-1.2621455884435768,-0.785119579015328,0.2830460741395458,0.45606516270175795,0.0,-8.41162937809654,4.043538315831913e-17,54.457159330850075
team_size_category_Unknown,1.3446372616607971,3.836794535670698,0.11604987779417932,1.117183680773931,1.5720908425476632,3.056234738754236,4.8167086520824665,0.0,11.586718462949039,4.81217837617481e-31,100.71308082067894
team_size_category_Very Large (50+),0.30226548460170394,1.352920358557914,0.133435363004832,0.040736978848204874,0.563793990355203,1.0415781124392496,1.7573271507346817,0.0,2.2652577082640244,0.023496869676483824,5.411387620347179
post_2008_x_time,-0.3857708211102684,0.6799263325878139,0.00847383873050218,-0.4023792398328533,-0.3691624023876835,0.6687270896454472,0.6913131304302649,0.0,-45.52491891563373,0.0,inf
vc_backed_x_time,-0.12075427366378874,0.8862517082237161,0.0059861873567683835,-0.1324869852877638,-0.10902156203981368,0.8759143338050193,0.8967110823697243,0.0,-20.172150730841373,1.7199391173125353e-90,298.19117104278746
