Dataset,N,Events,Event_Rate,Median_Survival,Mean_Survival,VC_Rate,Founding_Year_Mean
Jay Ritter,4748,4748,1.0,3.3661875427789187,4.933133703185375,0.40711878685762426,2008.3466722830665
Y Combinator,6211,323,0.05200450813073579,3.4934976043805612,4.619651319648708,1.0,2018.62566414426
