company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years,sector,geography,team_size_category,post_2008,years_since_founding,decade,vc_x_post2008,log_time_years
Central Financial Acceptance,1996,0,1996-01-01,1996-06-26,IPO,Jay_Ritter,,,,1996-01-01,1996-06-26,1,0.4845995893223819,Other,Unknown,Unknown,0,28,1990,0,0.3951450990761749
Trex Medical,1995,0,1996-01-01,1996-06-27,IPO,Jay_Ritter,,,,1996-01-01,1996-06-27,1,0.487337440109514,Other,Unknown,Unknown,0,29,1990,0,0.39698756850573014
American Materials & Techs,1995,0,1996-01-01,1996-07-01,IPO,Jay_Ritter,,,,1996-01-01,1996-07-01,1,0.4982888432580424,Other,Unknown,Unknown,0,29,1990,0,0.40432368577216343
C/NET,1995,0,1996-01-01,1996-07-01,IPO,Jay_Ritter,,,,1996-01-01,1996-07-01,1,0.4982888432580424,Other,Unknown,Unknown,0,29,1990,0,0.40432368577216343
United Payors & United,1995,0,1996-01-01,1996-07-02,IPO,Jay_Ritter,,,,1996-01-01,1996-07-02,1,0.5010266940451745,Other,Unknown,Unknown,0,29,1990,0,0.4061493366671887
Nuwave Technologies,1995,0,1996-01-01,1996-07-03,IPO,Jay_Ritter,,,,1996-01-01,1996-07-03,1,0.5037645448323066,Other,Unknown,Unknown,0,29,1990,0,0.4079716606339107
NetLive Communications,1995,0,1995-01-01,1996-08-12,IPO,Jay_Ritter,,,,1995-01-01,1996-08-12,1,1.6125941136208075,Other,Unknown,Unknown,0,29,1990,0,0.9603436409945302
TransAct Technologies,1996,0,1996-01-01,1996-08-22,IPO,Jay_Ritter,,,,1996-01-01,1996-08-22,1,0.6406570841889117,Other,Unknown,Unknown,0,28,1990,0,0.4950968226836848
Hollywood Productions,1995,0,1996-01-01,1996-09-10,IPO,Jay_Ritter,,,,1996-01-01,1996-09-10,1,0.6926762491444216,Other,Unknown,Unknown,0,29,1990,0,0.5263108557707167
Thermo BioAnalysis,1995,0,1996-01-01,1996-09-18,IPO,Jay_Ritter,,,,1996-01-01,1996-09-18,1,0.7145790554414785,Other,Unknown,Unknown,0,29,1990,0,0.5391676017682657
Carson,1996,0,1996-01-01,1996-10-14,IPO,Jay_Ritter,,,,1996-01-01,1996-10-14,1,0.785763175906913,Other,Unknown,Unknown,0,28,1990,0,0.5798458733860289
Metro Networks,1996,0,1996-01-01,1996-10-16,IPO,Jay_Ritter,,,,1996-01-01,1996-10-16,1,0.7912388774811773,Other,Unknown,Unknown,0,28,1990,0,0.5829074907794464
Homegate Hospitality,1996,0,1996-01-01,1996-10-23,IPO,Jay_Ritter,,,,1996-01-01,1996-10-23,1,0.810403832991102,Other,Unknown,Unknown,0,28,1990,0,0.5935499325417003
Uroquest Medical,1996,1,1996-01-01,1996-10-24,IPO,Jay_Ritter,,,,1996-01-01,1996-10-24,1,0.813141683778234,Other,Unknown,Unknown,0,28,1990,0,0.5950610775213702
